employer_name,rows,donors,occupations,donor_places,resolved_hq,address_source
TSTI,2,1,RABBI,"SOUTH ORANGE, NJ","South Orange, NJ",ai
BCCP,2,1,REGISTERED NURSE,"BALTIMORE, MD",,
BBS&G,2,2,ACCOUNTANT; ATTORNEY,"BETHESDA, MD; SOUTHFIELD, MI",,
BLATT,2,1,HOMEBUILDER; HOMEBUILDR,"CINCINNATI, OH",,
BERNSTEIN,2,2,INVESTMENT MANAGER; RETIRED,"LOS ANGELES, CA; WASHINGTON, DC","Philadelphia, PA",ai
BOSPAR,2,1,CONTENT DIRECTOR,"HUNTINGTON STATION, NY","San Francisco, CA",ai
BNE,2,2,REAL ESTATE,"LIVINGSTON, NJ; SHORT HILLS, NJ",,
TLE,2,1,RETIRED,"PALM BEACH GARDENS, FL",,
TIKAVH,2,1,CONSULTANT,"SAN FRANCISCO, CA",,
TIFIN,2,2,MANAGEMENT; PUBLISHING,"FREEHOLD, NJ; ROSLYN, NY","New York, NY",ai
THIMBLE,2,1,SMALL BUSINESS,"HARRISON, NY; NEWTON, MA","New York, NY",ai
TESLA,2,1,STAFF TECHNICAL PROGRAM MANAGER,"SEATTLE, WA","AUSTIN, TX",ai
IDT,2,2,ACCOUNTING; ENGINEER,"PASSAIC, NJ; WOODMERE, NY","Melville, NY",ai
IQHQ,2,1,REAL ESTATE,"LOS ANGELES, CA","Solana Beach, CA",ai
IPASS,2,1,REAL ESTATE; RETIRED,"LOS ANGELES, CA","Ridgefield Park, NJ",
INVENTEL,2,1,ATTORNEY,"CHERRY HILL, NJ",,
KMS,2,1,PHYSICIAN,"HOLLYWOOD, FL",,
TCV,2,1,CFO,"SHORT HILLS, NJ","San Francisco, CA",ai
BMO,2,1,SALES TRADER,"WOODMERE, NY","New York, NY",ai
BTG,2,1,RETIRED,"LIVINGSTON, NJ","New York, NY",
BROCKTON,2,1,TEACHER,"CANTON, MA",,
CBG,2,1,REAL ESTATE DEVELOPER; SELF-EMPLOYED,"SAN ANTONIO, TX",,
CATALYST,2,1,PHYSICIAN,"PLANO, TX","Plano, TX",ai
CCT,2,1,ENERGY POLICY ANALYST,"FAIRFAX, VA",,
STS,2,1,CFO,"SACRAMENTO, CA",,
STI,2,1,BUSINESS,"PRINCETON, NJ","Costa Mesa, CA",ai
STERN,2,2,REAL ESTATE DEVELOPMENT; RETIRED,"AVENTURA, FL; COLUMBIA, SC","New York, NY",ai
STEMRAD,2,1,CEO,"TAMPA, FL","Tampa, FL",ai
SLF,2,1,REALTOR; RETIRED,"CHARLOTTE, NC","Washington, DC",ai
KLEINBARD,2,1,ATTORNEY,"PHILADELPHIA, PA","Philadelphia, PA",ai
LECG,2,1,RETIRED,"PORTLAND, OR","New York, NY",
L3HARRIS,2,2,ENGINEER; ENGINEERING,"BEACHWOOD, OH; ROCHESTER, NY","Melbourne, FL",ai
SSL,2,1,LAWYER,"WASHINGTON, DC",,
CALTECH,2,1,RETIRED,"GLENDALE, CA","PASADENA, CA",ai
CALDWELL,2,1,CONSULTANT,"NEW YORK, NY",,
CDPA,2,1,PATHOLOGIST,"SLINGERLANDS, NY",,
SMI,2,1,EXECUTIVE; VICE PRESIDENT,"SAN DIEGO, CA","King of Prussia, PA",ai
CHASE,2,2,"EXECUTIVE DIRECTOR, PROGRAM MANAGEMENT; FINANCE","BEACHWOOD, OH; FAIR LAWN, NJ","New York, NY",ai
CHADWAY,2,1,BUSINESS ADVISOR; MERGER AND ACQUISITIONS ADVISOR,"WENTZVILLE, MO",,
CHA,2,1,DIR OF ADVANCEMENT,"MERCER ISLAND, WA",,
SLG,2,1,FINANCE,"PHILADELPHIA, PA","New York, NY",ai
SGWS,2,2,EXECUTIVE; MANAGER,"BOCA RATON, FL; WESTON, FL","Miami, FL",ai
SLADOWSKY,2,1,FINANCIAL SERVICES,"ENGLEWOOD, NJ",,
SILCON,2,1,RETIRED,"HENDERSON, NV",,
SPAXEL,2,1,REAL ESTATE,"ENGLEWOOD, NJ",,
SONCO,2,1,MANAGER,"ELK GROVE VILLAGE, IL","Elk Grove Village, IL",ai
SOCALGAS,2,1,MEDIA MANAGER,"LOS ANGELES, CA","Los Angeles, CA",ai
LINKEDIN,2,2,CORPORATE STRATEGY MANAGER; MARKETING,"BROOKLYN, NY; NEW YORK, NY","Sunnyvale, CA",ai
LIGHTBANK,2,2,INVESTOR,"CHICAGO, IL","Chicago, IL",ai
HPE,2,1,SALES,"CARMEL, IN","Spring, TX",ai
INCOMNET,2,1,RETIRED,"SANTA MONICA, CA",,
INCEPTIV,2,1,PRIVATE EQUITY INVESTOR,"GREENWOOD VILLAGE, CO","Culver City, CA",ai
CESJDS,2,1,LANG ARTS SPECIALIST,"SILVER SPRING, MD","Rockville, MD",ai
CJDS,2,1,EDUCATION; HOMEMAKER,"CHARLOTTE, NC","Charlotte, NC",ai
CITIWORKS,2,1,RETIRED,"AVENTURA, FL","Irving, TX",
SCHATZKI,2,1,PHYSICIAN,"WELLESLEY, MA",,
SELT,2,1,INVESTOR; RETIRED,"NORTH MIAMI BEACH, FL",,
SELG,2,1,REAL ESTATE DEVELOPER,"TARZANA, CA",,
SHORASHIM,2,1,RETIRED,"LANGHORNE, PA",,
LVHN,2,1,PHYSICIAN,"ALLENTOWN, PA","Allentown, PA",ai
LUNDBECK,2,1,AREA SALES MANAGER,"MIAMI BEACH, FL","Deerfield, IL",ai
LOWES,2,2,RETIRED,"ANOKA, MN; PHILADELPHIA, PA","Mooresville, NC",ai
LNC,2,1,AG EXEC; EXECUTIVE,"MEMPHIS, TN",,
MARZET,2,1,OWNER,"PARKER, TX",,
LMPP,2,1,REAL ESTATE,"TIBURON, CA",,
CPA,2,1,CONSULTANT,"BEACHWOOD, OH",,
COREVEST,2,1,EXECUTIVE; INVESTMENTS,"BLOOMFIELD HILLS, MI","Irvine, CA",ai
SAFEHOLD,2,1,REAL ESTATE,"SCARSDALE, NY","New York, NY",ai
RWJBH,2,1,PHYSICIAN,"SHORT HILLS, NJ","New Brunswick, NJ",ai
RGP,2,1,LEGAL CONSULTANT,"LONG BRANCH, NJ","Dallas, TX",ai
RUTGERS,2,2,ASSESSMENT; PHYSICIAN,"KENDALL PARK, NJ; SPRINGFIELD, NJ","New Brunswick, NJ",ai
RUGGABLE,2,1,COO,"LOS ANGELES, CA","Walnut Creek, CA",ai
RRC,2,1,FINANCE,"LOS ANGELES, CA","Santa Monica, CA",ai
CLEERLY,2,1,ATTORNEY,"DALLAS, TX","Denver, CO",ai
CLAROTY,2,1,SALES; TECHNOLOGY,"NEW YORK, NY","New York, NY",ai
CRICUT,2,1,DIRECTOR OF ENGINEERING,"SALT LAKE CITY, UT","South Jordan, UT",manual
RAZORFISH,2,1,WEB ANALYST,"NEW YORK, NY","New York, NY",ai
M2G,2,1,CONSULTANT,"NEW YORK, NY",,
HGF,2,1,FOUNDER,"AGAWAM, MA",,
IBB,2,1,CONTROLLER,"DALLAS, TX",,
HTL,2,1,EXECUTIVE,"BRIDGEHAMPTON, NY",,
HTG,2,1,BUSINESS OWNER; REAL ESTATE DEVELOPMENT,"CORAL GABLES, FL; MIAMI, FL",,
HSE,2,1,FINANCIAL ANALYST,"WASHINGTON, DC",,
IGN,2,1,MEDIA,"SCOTCH PLAINS, NJ","Los Angeles, CA",ai
RJC,2,2,RABBI; STAFF,"BRONX, NY; WOODLAND HILLS, CA","Washington, DC",ai
CWC,2,1,SALES,"EAST RUTHERFORD, NJ; GOLDEN BEACH, FL",,
CUSM,2,1,PHYSICIAN,"OMAHA, NE",,
CRS,2,1,CEO,"NORTH PALM, FL",,
DEN,2,1,CO-CEO,"NEW YORK, NY",,
DEM,2,1,GENERAL MANAGER; MANAGER,"BOCA RATON, FL",,
DDR,2,1,RETIRED,"NEW YORK, NY","Beachwood, OH",ai
RBS,2,1,RETIRED,"ENGLEWOOD, NJ",,
HON,2,1,REAL ESTATE,"DALLAS, TX","Muscatine, IA",ai
HOMEX,2,1,CEO,"CHICAGO, IL",,
HMH,2,1,PHYSICIAN,"ENGLEWOOD, NJ","Boston, MA",ai
RAH,2,1,MEDICAL DOCTOR; PHYSICIAN,"FORT LAUDERDALE, FL",,
QUARTZY,2,1,PRODUCT MANAGER,"SAN MATEO, CA","San Francisco, CA",ai
PWH,2,1,HEALTHCARE,"WEST HARTFORD, CT",,
REVV,2,1,CHIEF PRODUCT OFFICER,"SANTA CLARITA, CA","Boise, ID",ai
REV,2,1,ACCOUNTANT,"TENAFLY, NJ",,
DWT,2,1,LAWYER,"LOS ANGELES, CA","Seattle, WA",ai
PINTEREST,2,1,SALES,"SHERMAN OAKS, CA","San Francisco, CA",ai
PSCC,2,1,RETIRED,"SHORELINE, WA",,
PRODEW,2,1,ENGINEERING,"MARIETTA, GA",,
PRICEMDS,2,1,CEO,"CLEARWATER BEACH, FL; CLEARWATER, FL","Clearwater, FL",ai
EPCF,2,1,EMERGENCY PHYSICIAN; PHYSICIAN,"MAITLAND, FL","El Paso, TX",ai
PCI,2,1,SALES; SELF-EMPLOYED,"BLOOMFIELD HILLS, MI; DETROIT, MI",,
DERMCARE,2,1,MEDICAL DOCTOR,"PINECREST, FL","Hollywood, FL",ai
ELDRIDGE,2,1,ATTORNEY,"DALLAS, TX","New York, NY",ai
PAGNY,2,1,UROLOGIST,"MONSEY, NY","New York, NY",ai
MASS,2,1,HEALTH,"BOSTON, MA",,
MEDVET,2,1,VETERINARIAN; VETERINARY RADIOLOGIST,"BEACHWOOD, OH","King of Prussia, PA",ai
MCPS-MD,2,1,RETIRED,"HANOVER, MD","Bethesda, MD",ai
PACKMAN,2,1,ATTORNEY,"MIAMI, FL",,
OVRDRV,2,1,RETIRED,"NEWTON, MA",,
EVTS,2,1,EXECUTIVE,"BROOKLINE, MA",,
PARENTMAP,2,1,PUBLISHER,"MERCER ISLAND, WA",,
PAMF,2,1,PHYSICIAN,"MENLO PARK, CA","San Mateo, CA",ai
PALANTIR,2,1,,"NEW YORK, NY","Aventura, FL",ai
EMR,2,1,REAL ESTATE,"LOS ANGELES, CA","Saint Louis, MO",ai
FHLBSF,2,1,RISK MANAGEMENT,"MORAGA, CA","San Francisco, CA",ai
FERRING,2,1,SALES,"PLANTATION, FL","Princeton, NJ",ai
GTREASURY,2,1,SALES,"CHICAGO, IL","Buffalo Grove, IL",ai
HERRUPCPA,2,1,CPA,"MIAMI, FL",,
HDB,2,1,ADMINISTRATOR,"SCARSDALE, NY",,
HILLEL,2,2,DIRECTOR; EXECUTIVE,"COLUMBUS, OH; WASHINGTON, DC","Washington, DC",ai
OMG,2,1,ATTORNEY,"LAWRENCE, NY",,
OHS,2,1,ATTORNEY,"SANTA MONICA, CA",,
OFJCC,2,1,CEO,"LOS ALTOS, CA","ROSEVILLE, CA",ai
NYS,2,2,MEDICAL DOCTOR; RETIRED,"GLOVERSVILLE, NY; GREAT NECK, NY","Albany, NY",ai
FASB,2,1,BANKER,"GREENWOOD VILLAGE, CO","Norwalk, CT",ai
NORTHSIDE,2,1,RETIRED,"ATLANTA, GA; SANDY SPRINGS, GA",,
FIBERTRON,2,1,RETIRED,"NEWPORT BEACH, CA","Rye Brook, NY",
GAMESTOP,2,1,RETIRED,"AUSTIN, TX","Grapevine, TX",
FTI,2,2,CONSULTANT; FINANCIAL,"BEVERLY HILLS, CA; ROCHESTER, NY","Washington, DC",ai
FPMG,2,1,CONSULTANT; MANAGING PARTNER,"TAMPA, FL",,
NORTEX,2,1,PRESIDENT,"DALLAS, TX",,
GOODMANS,2,1,CEO,"PARADISE VALLEY, AZ",,
MLP,2,1,LAWYER,"RYE BROOK, NY",,
MJJ,2,1,MJJ; REAL ESTATE,"WARWICK, NY",,
MICRO,2,1,ATTORNEY,"HIGHLAND PARK, NJ",,
MSG,2,2,RETIRED; VP SOCIAL IMPACT,"BELLE HARBOR, NY; FORT LEE, NJ","New York, NY",ai
MREG,2,1,EXECUTIVE,"NEW YORK, NY","New York, NY",ai
MGB,2,1,PHYSICIAN,"WINCHESTER, MA",,
FOGELMAN,2,2,REAL ESTATE,"MEMPHIS, TN",,
GHAM,2,1,INVESTMENTS,"NORWALK, CT",,
NFI,2,1,OWNER,"DALLAS, TX","Camden, NJ",ai
NETFLIX,2,1,BUSINESS AFFAIRS EXECUTIVE,"TARZANA, CA","Los Gatos, CA",ai
NDA,2,1,REAL ESTATE,"BOCA RATON, FL",,
GREENSKY,2,1,CEO,"ATLANTA, GA","Atlanta, GA",manual
GLOBETAX,2,1,FINANCIAL SERVICES,"NEW YORK, NY",,
GSW,2,1,ADVISOR,"PIEDMONT, CA","Westerville, OH",ai
GSSPORTS,2,1,ADVISOR,"PIEDMONT, CA",,
GSK,2,1,SCIENTIST,"WABAN, MA","Philadelphia, PA",ai
GSD,2,1,CHIEF OF STAFF,"NEW YORK, NY",,
MPACT,2,1,CEO,"GREENSBORO, NC",,
GUHSD,2,1,SUBSTITUTE TEACHER,"SAN DIEGO, CA","El Cajon, CA",ai
GUARD,2,1,FINANCIAL ADVISOR,"LOS ANGELES, CA",,
NBEC,2,1,CEO,"SMYRNA, GA",,
ALCHEMIST,2,1,ENTREPRENEUR,"CAMBRIDGE, MA",,
AFLAC,2,2,RETIRED; SALES,"HOLMDEL, NJ; NEWTON, MA","Columbus, GA",ai
JCF,2,1,NONPROFIT MANAGEMENT; VICE PRESIDENT,"NEW YORK, NY",,
JCAN,2,1,CEO; EXECUTIVE,"COTO DE CAZA, CA",,
WITHUM,2,1,ACCOUNTANT; CPA,"AGOURA HILLS, CA; ENCINO, CA","Princeton, NJ",ai
WILLIVER,2,1,HEALTH CARE,"CHATHAM, NJ",,
WHEELS,2,2,EXECUTIVE; RETIRED,"DEKALB, IL; MENLO PARK, CA","Cleveland, OH",ai
WLRK,2,1,ATTORNEY; LAWYER,"NEW YORK, NY","New York, NY",ai
ANTEX,2,2,MANUFACTURER; MANUFACTURING,"BEVERLY HILLS, CA","Los Angeles, CA",ai
ACTUM,2,2,CO-CHAIRMAN; CONSULTANT,"PACOIMA, CA; RANCHO CUCAMONGA, CA","Los Angeles, CA",ai
A.T.N,1,1,CFO,"HIGHLAND PARK, IL",,
ACP,1,1,MEDICAL DOCTOR,"GREAT NECK, NY",,
JJB,1,1,AUDIT,"SLIDELL, LA",,
ISL,1,1,EXECUTIVE,"PURCHASE, NY",,
ISC,1,1,INSURANCE,"SCARSDALE, NY","Nashville, TN",ai
IRELL,1,1,LAWYER,"LOS ANGELES, CA","Los Angeles, CA",ai
JFOGR,1,1,DIRECTOR - NON PROFIT,"ROCHESTER, NY",,
JFNA,1,1,CEO/PRESIDENT,"WASHINGTON, DC","New York, NY",ai
JETTY,1,1,REVENUE OPERATIONS MANAGER,"ENGLEWOOD, NJ","San Jose, CA",ai
WBD,1,1,REMASTERING SPECIALIST,"FOREST HILLS, NY","Burbank, CA",ai
WLG,1,1,LAWYER,"CHERRY HILL, NJ","Boston, MA",ai
WEDTMED,1,1,PHYSICIAN,"NEW ROCHELLE, NY",,
ALTBANQ,1,1,FINANCE,"NEW YORK, NY",,
ALPHA,1,1,MANAGER,"WESTON, MA",,
AWARD,1,1,RETIRED,"DEERFIELD, IL",,
ASYV,1,1,CFO,"NEW YORK, NY",,
ASTRA,1,1,CEO,"AGOURA HILLS, CA","Hawthorne, NY",ai
ASTELLAS,1,1,SALES REP,"LOS ANGELES, CA","Northbrook, IL",ai
GROUP,1,1,REAL ESTATE,"OWINGS MILLS, MD",,
GROSSMAN,1,1,BUSINESS EXECUTIVE,"BOCA RATON, FL",,
GRIFFIN,1,1,RETIRED,"LAKE ELSINORE, CA",,
GRG,1,1,PHYSICAL,"WESTPORT, CT",,
HASBRO,1,1,DEVELOPER,"PIKESVILLE, MD","Pawtucket, RI",ai
GWE,1,1,VICE PRESIDENT,"ATLANTA, GA",,
GWC,1,1,DEVELOPER,"SAINT LOUIS, MO",,
GUMGUM,1,1,SALES DIRECTOR,"NEW YORK, NY","San Francisco, CA",ai
MNG,1,1,PRESIDENT,"OLIVETTE, MO",,
NAVY,1,1,RETIRED,"CHOCOWINITY, NC",,
HCHC,1,1,RETIRED,"NEW HAVEN, CT","Hartford, CT",
MERCOR,1,1,ATTORNEY,"NEW YORK, NY",,
WPH,1,1,MEDICAL DOCTOR,"ARMONK, NY",,
XYX,1,1,XYZ,"BEVERLY HILLS, CA",,
XTR,1,1,COO,"LOS ANGELES, CA",,
XOMETRY,1,1,CEO,"POTOMAC, MD","Mountain View, CA",ai
GARMIN,1,1,AVIATION SALES MANAGER,"SAINT LOUIS, MO","Olathe, KS",ai
GRATE,1,1,LOAN OFFICER,"MONROE, NY",,
GPKLEG,1,1,CPA,"MIAMI, FL",,
NAS,1,1,REAL ESTATE,"LOS ANGELES, CA",,
MYSELF,1,1,RETIRED,"HEALDSBURG, CA",,
MVE,1,1,CEO,"BEVERLY HILLS, CA",,
MUNDO,1,1,RETIRED,"LAS VEGAS, NV",,
MTP,1,1,DEALERSHIP RELATIONS,"CHARLOTTE, NC",,
GNEAM,1,1,INVESTMENT EXECUTIVE,"GREAT NECK, NY",,
GIVNER,1,1,LAWYER,"BAY HARBOR ISLANDS, FL",,
GSU,1,1,TEACHER,"DECATUR, GA",,
GSC,1,1,OWNER,"ENGLEWOOD CLIFFS, NJ",,
GRYPHON,1,1,FINANCE,"HERMOSA BEACH, CA","New York, NY",ai
MTL,1,1,ATTORNEY,"NEWPORT BEACH, CA",,
MORRISON,1,1,INVESTOR SOLUTIONS ASSOCIATE,"WEST HARTFORD, CT",,
MOCAP,1,1,RETIRED,"BOCA RATON, FL","Bloomington, MN",ai
GHNG,1,1,PHYSICIAN,"WEST HARTFORD, CT",,
GHCA,1,1,PHYSICIAN,"WESTON, MA",,
GGP,1,1,ATTORNEY,"ASTORIA, NY","Chicago, IL",ai
GFI,1,1,FINANCE,"LARCHMONT, NY","New York, NY",ai
NFG,1,1,EXECUTIVE,"WHITEHALL, PA","Williamsville, NY",ai
NEXTOP,1,1,WORKFORCE DEVELOPMENT,"MANDEVILLE, LA",,
MSW,1,1,REAL ESTATE INVESTOR -DEVELOPER,"TUCSON, AZ",,
MSK,1,1,MEDICAL DOCTOR,"NEW YORK, NY","New York, NY",ai
NEWCHEM,1,1,CHAIRMAN,"IRVINE, CA",,
NEWBROOK,1,1,REAL ESTATE,"SHERMAN OAKS, CA",,
NETATWORK,1,1,TECHNOLOGY,"HOLLYWOOD, FL","Philadelphia, PA",ai
NDP,1,1,ACCOUNT EXECUTIVE,"CHARLOTTE, NC",,
NCSY,1,1,MAJOR GIFTS DIRECTOR,"HOLLYWOOD, FL","New York, NY",ai
GBD,1,1,RETIRED,"ENGLEWOOD CLIFFS, NJ","San Francisco, CA",ai
GARY-SELF,1,1,PHYSICIAN,"CHAGRIN FALLS, OH",,
GARTNER,1,1,VP OF STRATEGY,"ATLANTA, GA","Jacksonville, FL",ai
GOVT,1,1,RETIRED,"AVENTURA, FL",,
MERCER,1,1,ATTORNEY,"DEWITTVILLE, NY","New York, NY",ai
MLEDLINE,1,1,PRODUCT MANAGEMENT,"EVANSTON, IL",,
MJW,1,1,RETIRED,"PALMYRA, VA",,
MINTZ,1,1,ATTORNEY,"DEL MAR, CA","Boston, MA",ai
MILV,1,1,PHYSICIAN,"ALLENTOWN, PA",,
MIL,1,1,DEVELOPER,"GREENWOOD VILLAGE, CO",,
MICHELMAN,1,1,CEO,"CINCINNATI, OH","Annandale, NJ",ai
MHS,1,1,PHYSICIAN,"FORT LAUDERDALE, FL","Washington, DC",ai
MRM,1,1,PHYSICIAN,"NEW YORK, NY","Arlington, VA",ai
MHG,1,1,BUSINESS SERVICES,"HARRISON, NY","New York, NY",ai
GOCHARGE,1,1,CEO,"SCARSDALE, NY","San Francisco, CA",ai
GNTC,1,1,COLLEGE INSTRUCTOR,"CHATTANOOGA, TN",,
NCPA,1,1,HEALTH POLICY,"WILMETTE, IL","Alexandria, VA",ai
NMG,1,1,MEDIA,"NEW YORK, NY",,
NGM,1,1,RETIRED,"NORFOLK, VA",,
FARMER,1,1,RETIRED,"INDIO, CA",,
FACTORLAW,1,1,ATTORNEY,"CHICAGO, IL","New York, NY",ai
FABRICANT,1,1,INSURANCE,"NEW YORK, NY","New York, NY",ai
FMR,1,1,RETIRED,"NEWTON, MA","Boston, MA",
FLUXON,1,1,CEO,"PALO ALTO, CA",,
FISERV,1,1,SALES DIRECTOR,"FAIRFIELD, CT","Brookfield, WI",ai
NSUHS,1,1,PHYSICIAN,"HIGHLAND PARK, IL","Davie, FL",ai
NSI,1,1,OWNER,"NEW YORK, NY","Jacksonville, FL",ai
NRSC,1,1,POLITICAL DIRECTOR,"WASHINGTON, DC","Washington, DC",ai
NOSVA,1,1,OWNER,"BEVERLY HILLS, CA",,
FIGHTCAMP,1,1,CFO,"LOS ANGELES, CA","Denver, CO",ai
G-BAR,1,1,OWNER,"GLENCOE, IL",,
FPL,1,1,RETIRED,"MIAMI BEACH, FL","Juno Beach, FL",ai
FPF,1,1,POLICY COUNSEL,"WASHINGTON, DC",,
FPC,1,1,,"NEW CITY, NY",,
NORDSTROM,1,1,ALTERATIONS SPECIALIST,"CAMP HILL, PA","Seattle, WA",ai
NUMC,1,1,MEDICAL DOCTOR,"PORT WASHINGTON, NY","Camden, NJ",ai
ORTHOMED,1,1,SURGEON,"WESTON, FL","Bloomfield, NJ",ai
ORLINSKY,1,1,INVESTMENTS,"TEANECK, NJ",,
ORDERTECH,1,1,OWNER,"PHOENIX, AZ",,
ORBIS,1,1,REAL ESTATE,"LOS ANGELES, CA","New York, NY",ai
OPWDD,1,1,RETIRED,"HUNTINGTON, NY","Albany, NY",ai
OPENTEXT,1,1,DIRECTOR,"SHARON, MA",,
OFTEN,1,1,CARDIOLOGY,"LAS VEGAS, NV",,
PBS&J,1,1,RETIRED,"WEST PALM BEACH, FL","Atlanta, GA",ai
NORCHAR,1,1,RETIRED,"NEW YORK, NY",,
OBXTEK,1,1,CONGRESSIONAL AFFAIRS,"WASHINGTON, DC","Vienna, VA",ai
NYRFP,1,1,LENDING,"NEW YORK, NY",,
NYPW,1,1,PHYSICIAN,"NEW ROCHELLE, NY",,
NYMC,1,1,PHYSICIAN,"ENGLEWOOD, NJ","Manhasset, NY",ai
NYLAG,1,1,LAWYER,"NEW YORK, NY","New York, NY",ai
NYBCOICF,1,1,MANAGER,"BAYSIDE, NY",,
FIRSTNAME,1,1,RETIRED,"BETHESDA, MD",,
MFP,1,1,MARKETING,"SAN MATEO, CA",,
METTEL,1,1,EXECUTIVE DIRECTOR,"NEW YORK, NY","Woburn, MA",ai
METROVAC,1,1,PRESIDENT/ CEO,"RIVER VALE, NJ","Manchester, NH",ai
METRO,1,1,SELF-EMPLOYED,"MERION STATION, PA",,
MERCURY,1,1,CO-CHAIRMAN,"RANCHO CUCAMONGA, CA","Dallas, TX",ai
HFA,1,1,PRESIDENT,"PHILADELPHIA, PA","Alexandria, VA",ai
HEYMAN,1,1,VICE CHAIRMAN- THE TRAVELERS COMPANIES,"NEW YORK, NY",,
HEWLETT,1,1,PHILANTHROPY,"SAN FRANCISCO, CA","Palo Alto, CA",ai
HENKEL,1,1,"SENIOR DIRECTOR, MARKETING","SHERMAN OAKS, CA","Springfield, MA",ai
HCMG,1,1,NURSING HOME ADMINISTRATOR,"CINCINNATI, OH",,
HCLA,1,1,IT,"REGO PARK, NY",,
HINSHAW,1,1,ATTORNEY,"WESTON, FL","Chicago, IL",ai
FINNEGAN,1,1,LAWYER,"AVENTURA, FL","Washington, DC",ai
FILMRISE,1,1,PRESIDENT,"BROOKLYN, NY",,
NVE,1,1,MARKETING,"LOS ANGELES, CA","Jacksonville, FL",ai
EXILARCH,1,1,EXECUTIVE,"LARCHMONT, NY",,
EXCELLUS,1,1,RETIRED,"WANTAGH, NY","Rochester, NY",ai
EVMAX,1,1,RETIRED,"SUNNY ISLES BEACH, FL","Buffalo Grove, IL",
ESP,1,1,PHYSICIAN,"DEERFIELD, IL",,
ERNEST,1,1,BUSINESS,"COMMERCE, CA",,
PAYCHEX,1,1,MARKETING,"BROOKEVILLE, MD","Rochester, NY",ai
PARRAGON,1,1,RETIRED,"SUFFERN, NY","Irvine, CA",
PARDES,1,1,EXECUTIVE,"WHITE PLAINS, NY","New York, NY",ai
PAM,1,1,STRATEGY CONSULTANT,"AVENTURA, FL",,
ELVENTS,1,1,GLOBAL HEAD OF EVENTS,"WATER MILL, NY",,
ELLIPSIS,1,1,CONSULTING / BOARD ADVISOR,"NEW YORK, NY",,
FHPS,1,1,TEACHER,"GRAND RAPIDS, MI",,
FGMC,1,1,LAWYER,"FRANKTOWN, CO",,
FFO,1,1,CPA,"VALLEY STREAM, NY",,
FFC,1,1,FRANCHISEE,"SHARON, MA","New York, NY",ai
FIS,1,1,ANALYST,"DALLAS, TX","Jacksonville, FL",ai
MEDPAC,1,1,RETIRED,"SILVER SPRING, MD","Washington, DC",ai
MEDNAX,1,1,PHYSICIAN,"SCOTTSDALE, AZ","Sunrise, FL",ai
MEDIFLIX,1,1,PRESIDENT,"PALM BEACH, FL",,
MDESIGN,1,1,HEAD OF DESIGN/CO-FOUNDER,"MORELAND HILLS, OH",,
MDA,1,1,MEDICAL DOCTOR,"HOUSTON, TX","Boulder, CO",ai
MCSO,1,1,MEDICAL DOCTOR,"GLENCOE, IL",,
MCPS,1,1,TEACHER,"POTOMAC, MD","Rockville, MD",ai
MHPP,1,1,RETIRED,"HOLLAND, MI",,
M-RETS,1,1,PRESIDENT & CEO,"EDINA, MN","Medina, OH",ai
LYFT,1,1,SOFTWARE ENGINEER,"NEPTUNE, NJ","San Francisco, CA",ai
PHCA,1,1,PEDIATRICIAN,"TAMPA, FL",,
PGP,1,1,BENEFITS CONSULTANT,"ROCKVILLE CENTRE, NY",,
PGCPS,1,1,SUB TEACHER,"CLINTON, MD","Upper Marlboro, MD",ai
PENZANCE,1,1,REAL ESTATE DEVELOPMENT,"BETHESDA, MD","New York, NY",ai
DP&F,1,1,LAWYER,"BERKELEY, CA",,
DOWNSTATE,1,1,OPHTHALMOLOGIST,"WOODMERE, NY",,
ERLANGER,1,1,PHYSICIAN,"CHATTANOOGA, TN","Cincinnati, OH",ai
EPSWCVS,1,1,RETIRED,"DUNCANVILLE, TX",,
PEETS,1,1,MANAGER,"CLOVIS, CA","Boston, MA",ai
PDIQ,1,1,FOUNDER,"SAN DIEGO, CA",,
PORTMAN,1,1,REAL ESTATE,"NEW YORK, NY",,
PNC,1,1,LOANS,"SHERMAN OAKS, CA","Pittsburgh, PA",ai
PML,1,1,CEO,"MAMARONECK, NY",,
PKFOD,1,1,CPA,"NAPLES, FL",,
PJCC,1,1,NONPROFIT JEWISH COMMUNITY,"SAN CARLOS, CA",,
EJDC,1,1,INTERPRETER,"LAS VEGAS, NV",,
ECKSTEIN,1,1,LAWYER,"NEW YORK, NY",,
EBM,1,1,PRESIDENT,"BETHESDA, MD",,
FCB,1,1,CREATIVE,"QUEENS VILLAGE, NY","New York, NY",ai
HILLDUN,1,1,FINANCE,"CHAPPAQUA, NY","New York, NY",ai
MAS,1,1,COMMODITY TRADER,"LEAWOOD, KS",,
MEDVAMC,1,1,PHYSICIAN,"HOUSTON, TX","Greensboro, NC",ai
RATNER,1,1,PRESIDENT,"MINNETONKA, MN",,
RAS,1,1,ATTORNEY,"BOCA RATON, FL",,
RAMS,1,1,DOCTOR,"HARRISON, NY","Los Angeles, CA",ai
RADNET,1,1,PHYSICIAN,"LOS ANGELES, CA","Newport Beach, CA",ai
QACC,1,1,OPERATOR,"LIDO BEACH, NY",,
DUPONT,1,1,RETIRED,"WILMINGTON, DE","Wilmington, DE",ai
DTNA,1,1,ENGINEER,"CHARLOTTE, NC","Portland, OR",ai
