employer,n_rows,status,old_address,old_state,new_address,new_state,donor_states
FRAGILEPAK,9,corrected,"3000 Corporate Exchange Drive, Suite 100, Columbus, OH",OH,"2270 Corporate Circle, Ste. 220",NV,CA:9
GARDEN FRESH MARKET,9,corrected,"1005 West Morehead Street, Charlotte, NC",NC,400 Townline Rd,IL,IL:9
GREENSPRING REALTY PARTNERS,9,corrected,"8300 Greensboro Drive, Suite 700, McLean, VA",VA,"1212 York Road, Suite C 300",MD,MD:9
GLOBAL INFRASTRUCTURE PARTNERS,9,corrected,"Two Greenwich Plaza, 3rd Floor, Greenwich, CT",CT,50 Hudson Yards,NY,NY:9
GEM REALTY CAPITAL,9,corrected,"80 Broad Street, 23rd Floor, New York, NY",NY,"900 N Michigan Ave, 14th Floor",IL,IL:9
KECHES LAW GROUP,9,corrected,"3111 Camino del Rio North, Suite 400, San Diego, CA",CA,"2 Lakeshore Center, Suite 3",MA,MA:9
KRG CAPITAL PARTNERS,9,corrected,"40 West 32nd Street, 12th Floor, New York, NY",NY,"1800 Larimer Street, Suite 2200",CO,CO:9
NORTHMARQ,9,corrected,"200 SW Market St, Suite 900, Portland, OR",OR,"3500 American Blvd W, Suite 500",MN,CA:8; MD:1
LEE ALPERT AND COMPANY,9,corrected,"400 Summit Drive, Suite 200, Valhalla, NY",NY,"3033 East 1st Avenue, Ste 725",CO,CO:9
LONGEVITY HEALTH PLAN,9,corrected,"2 Hampton Drive, Suite 200, Riverton, NJ",NJ,"11780 U.S. Highway One, Suite N107",FL,FL:9
LITWIN KACH,9,corrected,"60 Cutter Mill Road, Suite 303, Great Neck, NY",NY,"401 N Michigan Ave, Suite 1200",IL,IL:9
PHATHOM PHARMA,9,corrected,"3000 Ocean Park Blvd, Suite 209, Santa Monica, CA",CA,"100 Campus Drive, Suite 102",NJ,NJ:9
PACIFIC ASSET,9,confirmed,840 Newport Center Dr,CA,,,FL:9
PRICE BENOWITZ,9,confirmed,409 7th St NW,DC,,,VA:9
SCI CAPITAL,9,corrected,"10 EAST 53RD STREET, 30TH FLOOR, NEW YORK, NY",NY,"1875 Century Park East, Suite 320",CA,CA:9
SABER REAL ESTATE ADVISORS,9,corrected,"10 Federal St, Suite 1100, Boston, MA",MA,"80 Business Park Drive, Suite 306",NY,FL:8; NY:1
SIGMA INVESTMENT COUNSELORS,9,corrected,"300 Continental Dr, Suite 401, Newark, DE",DE,"186 E. Main Street, Suite 200",MI,OH:9
SIGNAL HILL HOLDINGS,9,corrected,"1100 Louisiana Street, Houston, TX",TX,38 Sylvan Rd,CT,CA:9
TELEDYNE TECHNOLOGIES,9,corrected,"300 Interpace Pkwy, Parsippany, NJ",NJ,1049 Camino Dos Rios,CA,CA:9
TEMPLE AHAVAT SHALOM,9,corrected,"777 Concord Ave, Cambridge, MA",MA,1575 Curlew Rd,FL,FL:9
USIP,9,confirmed,"2301 Pennsylvania Avenue NW, Suite 300",DC,,,NY:9
VERIZON,9,confirmed,1095 Avenue of the Americas,NY,,,NJ:8; MA:1
THE VISTRIA GROUP,9,unknown,"1 South Wacker Drive, Suite 3900",IL,,,NY:9
STANDARD EQUITY GROUP,9,unknown,"1 Harborview Plz, Suite 101",NY,,,PA:9
WEISS ASSOCIATES,9,corrected,"1200 Route 22 West Suite 100, Bridgewater, NJ",NJ,"2560 Ninth Street, Suite 212",CA,CA:9
TRION PROPERTIES,9,corrected,"3500 Lenox Rd NE Ste 600, Atlanta, GA",GA,"700 N San Vicente Blvd, Suite G460",CA,FL:9
VIVA LEARNING,9,corrected,"1600 Amphitheatre Parkway, Mountain View, CA",CA,3736 Bee Caves Rd Ste 1-230,TX,TX:9
BAIN & COMPANY,9,confirmed,131 Dartmouth Street,MA,,,CA:9
L M SANDLER AND SONS INC,9,corrected,"64 W 48th St, New York, NY",NY,"448 Viking Drive, Suite 220",VA,VA:9
DORA'S NATURALS INC,9,confirmed,21 Empire Blvd,NJ,,,NY:9
WITHIN HEALTH,9,corrected,"201 King of Prussia Road, Suite 350, Radnor, PA",PA,"2665 S Bayshore Drive, Suite 220",FL,FL:9
MAMIYE BROS INC,9,corrected,"9801 Roosevelt Blvd, Philadelphia, PA",PA,"1385 Broadway, 18th Floor",NY,NY:9
"GYL FINANCIAL SYNERGIES, LLC",9,confirmed,75 Isham Rd,CT,,,NY:9
NCH ADVISORS INC,9,corrected,"300 S Tryon St, Suite 2500, Charlotte, NC",NC,"452 Fifth Avenue, 24th Floor",NY,NY:9
"LONESTAR DATA HOLDINGS, INC",9,corrected,"600 Congress Ave, Austin, TX",TX,450 8th Ave SE,FL,NY:9
"SCHLANGER SILVER, LLP",9,corrected,"150 East 58th Street, 34th Floor, New York, NY",NY,"109 North Post Oak Lane, Suite 300",TX,TX:9
SEARS FINANCIAL CORP,9,corrected,"3333 Beverly Rd, Hoffman Estates, IL",IL,"6340 N Campbell Ave, Ste 278",AZ,AZ:9
BERGER FIRM PA,9,corrected,"150 East 58th Street, New York, NY",NY,10800 Biscayne Blvd Suite 201,FL,FL:9
LIGHITLITY,9,corrected,"2000 K Street NW, Suite 850, Washington, DC",DC,"9200 Corporate Blvd, Suite 150",MD,MD:9
SCOR GLOBAL LIFE REINSURANCE,9,corrected,"1999 Avenue of the Stars, Suite 1200, Los Angeles, CA",CA,"101 South Tryon Street, Suite 3200",NC,NC:9
SNELL & WILMER LLP,9,corrected,"3883 Howard Hughes Pkwy, Suite 1100, Las Vegas, NV",NV,"One Arizona Center, 400 E Van Buren Street, Suite 1900",AZ,TX:9
WRP MANAGEMENT CORP,9,unknown,"50 California Street, Suite 1500",CA,,,AZ:9
WIPRO,9,confirmed,2 Tower Center Blvd,NJ,,,TX:9
"KAUFMAN PRODUCTS, INC",9,corrected,"14000 NW 14th Ct, Sunrise, FL",FL,3811 Curtis Avenue,MD,MD:9
MACKENZIE HUGHES LLP,9,corrected,"1809 K St NW #1100, Washington, DC",DC,"440 South Warren Street, Suite 400",NY,NY:9
DELOITTE,9,corrected,"2 Tower Center Boulevard, East Brunswick, NJ",NJ,"30 Rockefeller Plaza, 41st Floor",NY,IL:5; NY:3; FL:1
BMO CAPITAL MARKETS,9,corrected,"1 North Jefferson Avenue, Chicago, IL",IL,1585 Broadway,NY,NJ:8; NY:1
ARCXIS,8,corrected,"61 Broadway, 10th Floor, New York, NY",NY,"19450 State HWY 249, Suite 300",TX,TX:8
ASRC FEDERAL,8,corrected,"500 C St SW, Suite 320, Washington, DC",DC,"11091 Sunset Hills Road, Suite 800",VA,MD:8
AMG,8,corrected,"600 Newport Center Drive, Suite 1100, Newport Beach, CA",CA,777 South Flagler Drive,FL,TX:8
CENTENNIAL RETAIL SERVICES,8,corrected,"1001 East Palm Avenue, Hemet, CA",CA,"2505 21st Avenue South, Suite 201",TN,TN:8
ASURION,8,corrected,"14651 Dallas Parkway, Suite 600, Dallas, TX",TX,1101 Church St,TN,VA:8
AVANTUS,8,corrected,"4451 E Cotton Center Blvd, Suite 350, Phoenix, AZ",AZ,"655 W Broadway, Suite 1550",CA,LA:8
DEPT OF ARMY,8,confirmed,101 Army Pentagon,DC,,,TX:8
CHATHAM FINANCIAL,8,confirmed,"2000 Market Street, Suite 4200",PA,,,FL:8
DUKAS LINDEN PUBLIC RELATIONS,8,confirmed,"120 W 45th Street, 16th Floor",NY,,,NJ:8
FIRST REPUBLIC,8,confirmed,111 Pine Street,CA,,,FL:8
FOX NEWS,8,confirmed,1211 Avenue of the Americas,NY,,,IL:8
GESHER DAY SCHOOL,8,corrected,"35 East 67th Street, New York, NY",NY,4800 Mattie Moore Ct,VA,VA:8
CISCO SYSTEMS,8,confirmed,170 West Tasman Drive,CA,,,MA:5; AZ:3
GOODWIN,8,confirmed,100 Northern Ave,MA,,,NY:8
HCC,8,confirmed,"13403 Northwest Freeway, Suite 800",TX,,,MD:8
GIFT OF LIFE DONOR PROGRAM,8,corrected,"401 Warren Ave S, Minneapolis, MN",MN,401 N. 3rd Street,PA,PA:8
HBK CAPITAL MANAGEMENT,8,corrected,"2 PPG Place, Suite 1800, Pittsburgh, PA",PA,"2300 North Field Street, Suite 2200",TX,NY:8
HIGHTECHLENDING,8,confirmed,2030 Main St,CA,,,NY:6; FL:2
GROMIS EQUITIES,8,unknown,"35 West 36th Street, 11th Floor",NY,,,CA:8
IMPCO,8,corrected,"3030 S Susan St, Santa Ana, CA",CA,5757 Farinon Drive,TX,OR:8
HOLY CROSS HEALTH,8,corrected,"4925 Lankershim Blvd, Los Angeles, CA",CA,4725 N Federal Highway,FL,FL:8
MANI BROTHERS,8,corrected,"30 Brier Pl, Farmingdale, NY",NY,"9200 Sunset Boulevard, Suite 555",CA,CA:8
INNOVATION GROUP,8,corrected,"1 Freedom Plz, King of Prussia, PA",PA,"1051 Perimeter Dr, Suite 800",IL,CA:8
NICHOLS PARTNERSHIP,8,corrected,"One Montgomery Street, Suite 1600, San Francisco, CA",CA,"1644 Platte Street, Suite 130",CO,CO:8
LEVORITZ LAW,8,corrected,"2200 Ross Ave, Suite 750, Dallas, TX",TX,"200 Vesey Street, 24th Floor",NY,NY:8
MILEONE AUTOGROUP,8,corrected,"600 S Main St, Dover, NH",NH,1 Olympic Pl Suite 1120,MD,MD:8
PHYSICIANS DIALYSIS,8,corrected,"3311 Cumberland Blvd SE, Suite 600, Atlanta, GA",GA,"1000 Park Centre Blvd, Ste 134",FL,FL:8
MIDSTATE RADIOLOGY ASSOCIATES,8,corrected,"2000 East Galbraith Road, Cincinnati, OH",OH,101 North Plains Industrial Road,CT,CT:8
OCTAGON CREDIT INVESTORS,8,confirmed,"360 Madison Ave, 6th Floor",NY,,,NJ:8
REPUBLIC CLOTHING,8,confirmed,"320 West 38th Street, 8th Floor",NY,,,CT:8
RETINA VITREOUS CONSULTANTS,8,corrected,"3500 E Fletcher Ave, Suite 200, Tampa, FL",FL,"349 East Northfield Road, Suite 100",NJ,NJ:8
RELATIVITY,8,corrected,"55 Water Street, 28th Floor, New York, NY",NY,3500 E Burnett St,CA,CA:8
RKW RESIDENTIAL,8,corrected,"4400 Post Oak Parkway, Suite 300, Houston, TX",TX,"24 Mercer St, 3rd Floor, Office 402",NY,FL:8
PROHEALTH PROFESSIONAL SERVICES,8,corrected,"PO Box 487, Amherst, NY",NY,"500 E Colorado St, Ste 100",CA,CA:8
RLH,8,corrected,"1000 Continental Drive, Glenview, IL",IL,1550 Market St Suite 350,CO,CA:8
RODAN FAMILY FOUNDATION,8,corrected,"1000 South Pine Island Road, Suite 420, Plantation, FL",FL,"21 Orinda Way, Suite C-381",CA,CA:8
SUPERSTRUCTURES,8,corrected,"4455 Milwaukee Street NW, Huntsville, AL",AL,"14 Wall Street, 25th Floor",NY,NY:7; NJ:1
ROLAND LAW FIRM,8,corrected,"325 North St. Paul Street, Suite 3350, Dallas, TX",TX,"4 Tower Place, 2nd Floor",NY,NY:8
TSG CONSUMER,8,confirmed,"11601 Wilshire Blvd, Suite 2040",CA,,,CT:8
AUERBACH FUNDS LLC,8,corrected,"280 Park Ave South 8th Floor, New York, NY",NY,"6000 Fairview Road, 12th Floor",NC,NC:8
VERITA GLOBAL,8,corrected,"303 Congress St, Suite 410, Boston, MA",MA,"222 N Pacific Coast Hwy, Ste 300",CA,NY:8
SCP MANAGEMENT,8,unknown,"155 N. Wacker Drive, Suite 4250",IL,,,FL:8
LAZARD FRERES & CO. LLC,8,confirmed,30 Rockefeller Plaza,NY,,,CT:8
HUTT LAW PC,8,corrected,"500 108th Ave NE, Ste 200, Bellevue, WA",WA,"305 Broadway, 7th Floor",NY,NY:8
VPC,8,unknown,1400 New Hope Road,VA,,,IL:8
REXTAR LLC,8,corrected,"135 US Highway 46, Fairfield, NJ",NJ,1004 Dulaney Valley Road,MD,MD:8
RIALTO MANAGEMENT CORP,8,corrected,"3800 North Classen Boulevard, Suite 200, Oklahoma City, OK",OK,"872 Madison Avenue, Suite 2A",NY,NY:8
ROSENTHAL FOODS CORP,8,corrected,"2 Corporate Drive, Cranbury, NJ",NJ,1313 11th St Ste 2,IA,AZ:8
"SEGAL MANAGEMENT, LLC",8,corrected,"1 PENN PLAZA, 36TH FLOOR, NEW YORK, NY",NY,2220 Cape Cod Place,MN,MN:8
KONA ADVISORS LLC,8,unknown,55 West 46th Street,NY,,,IL:8
U.S. SEARCH LLC,8,corrected,"66 Rimmon Hill Rd, Carmel, NY",NY,"600 Corporate Pointe, Suite 220",CA,MD:8
VERNON & PARK CAPITAL,8,corrected,"711 Third Avenue, 9th Floor, New York, NY",NY,"10 South Riverside Plaza, Suite 1830",IL,IL:8
HIGHTOWER,8,corrected,"1201 West Peachtree Street NW, Suite 1400, Atlanta, GA",GA,"200 West Madison Street, Suite 2500",IL,NJ:8
MEDSTAR MEDICAL GROUP,8,corrected,"110 Irving St NW, Suite 700, Washington, DC",DC,10980 Grantchester Way,MD,MD:8
CLEARCOVER INC,8,corrected,"28 Liberty St, New York, NY",NY,"33 W Monroe St, Suite 1350",IL,IL:8
UBER TECHNOLOGIES,8,confirmed,1515 3rd Street,CA,,,PA:6; NJ:2
GLOBAL STEEL DUST,8,corrected,"2240 Winton Road South, Rochester, NY",NY,109 N Post Oak Ln Ste 415,TX,TX:8
"ROSENBERG & ROSENBERG, P.A",8,corrected,"1025 Connecticut Ave NW Suite 1000, Washington, DC",DC,2501 Hollywood Boulevard Suite 110,FL,FL:8
"DANALEX, INC",8,corrected,"299 Park Ave, 12th Floor, New York, NY",NY,85 Pristine Glen St,NV,NV:8
BOSTON BEER COMPANY,7,confirmed,One Design Center Place,MA,,,KS:7
ACTIO CORPORATE ASSET ADVISORS,7,corrected,"1200 G Street NW, Suite 800, Washington, DC",DC,125 Maiden Lane #207,NY,NY:7
AHOLD DELHAIZE,7,corrected,"500 N. King Street, Wilmington, DE",DE,300 South Riverside Plaza,IL,IL:7
CB COMMERCIAL,7,corrected,"2100 McKinney Avenue, Dallas, TX",TX,533 S. Fremont Ave,CA,CA:7
CHAIFETZ GROUP,7,corrected,"200 S. Biscayne Blvd, Suite 2795, Miami, FL",FL,"455 N. Cityfront Plaza Drive, 13th Floor",IL,IL:7
BROADMOOR,7,corrected,"1 Lake Ave, Colorado Springs, CO",CO,"809 N 96th St, Ste 1",NE,NE:7
CARDINAL CAPITAL COMPANY,7,corrected,"101 Arch Street, Suite 1900, Boston, MA",MA,"8665 Wilshire Blvd, Suite 410",CA,CA:7
CLIFFSIDE REHAB,7,corrected,"100 Patterson Ave, Cliffside Park, NJ",NJ,119-19 Graham Court,NY,NY:7
FORTRESS INVESTMENT GROUP,7,confirmed,1345 Avenue of the Americas,NY,,,CA:7
CROOKED MONKEY,7,corrected,"118 N Market St, Georgetown, DE",DE,8220 River Quarry Place,MD,MD:7
CANVASBACK MANAGEMENT,7,unknown,"1055 31st Street NW, Suite 600",DC,,,AL:7
GREENHOUSE SOFTWARE,7,confirmed,"1 Lafayette Street, 4th Floor",NY,,,NC:7
DLR GROUP,7,corrected,"600 108th Avenue NE, Suite 2200, Bellevue, WA",WA,"6457 Frances St, Ste 200",NE,CA:7
HBO,7,confirmed,30 Hudson Yards,NY,,,CA:7
GRANITE POINT MORTGAGE TRUST,7,corrected,"12100 Sunset Hills Road, Suite 750, Reston, VA",VA,"3 Bryant Park, 24th Floor",NY,CT:6; FL:1
JARU,7,corrected,"12 E 14th Street, New York, NY",NY,12901 Flagler Center Blvd.,FL,FL:7
HERMAN CAPITAL CORPORATION,7,corrected,"1 N LaSalle St, Suite 2200, Chicago, IL",IL,3539 Douglas Dr N,MN,MN:7
HERCULES FENCE,7,corrected,"1440 Railroad Ave, Union City, CA",CA,8580 Mission Rd,MD,VA:6; MD:1
JOULE VENTURES,7,corrected,"1 Maritime Plaza, Suite 900, San Francisco, CA",CA,535 W. 110th St #5F,NY,GA:6; NY:1
MADISON ELECTRIC CO,7,corrected,"240 Mount Airy Rd, Santa Rosa, CA",CA,31855 Van Dyke Ave,MI,MI:7
LISI NIGRIN INTERIORS,7,corrected,"33 E 2nd St, New York, NY",NY,13 Paladia Way,MD,MD:7
KCC,7,unknown,805 Central Avenue,NJ,,,NY:6; DC:1
KBT,7,corrected,"2550 Riva Road, Suite 400, Annapolis, MD",MD,1633 Broadway,NY,NY:7
MEOPTA USA,7,corrected,"465 Aberdeen Drive, Hillsboro, OR",OR,7826 Photonics Drive,FL,FL:7
MILESTONE BANK,7,corrected,"10900 Lowell Blvd, Broomfield, CO",CO,"310 South Main St, Suite 900",UT,MI:7
NCH CAPITAL,7,corrected,"300 S Tryon St, Suite 2500, Charlotte, NC",NC,75 Rockefeller Plaza,NY,NY:7
OODA-HEALTH,7,corrected,"100 Overlook Center, 2nd Floor, Princeton, NJ",NJ,"100 Montgomery Street, Suite 2100",CA,DC:7
NAPCO,7,unknown,333 Pitkin St,CT,,,IL:7
ROBBINS FIRM,7,corrected,"10880 Wilshire Boulevard, Suite 1200, Los Angeles, CA",CA,500 14th Street NW,GA,GA:7
ROYCE CORPORATION,7,corrected,"745 Fifth Avenue, New York, NY",NY,"20900 NE 30th Ave, Suite 102",FL,FL:7
STEWART TITLE,7,confirmed,"1980 Post Oak Blvd, Suite 800",TX,,,CA:7
PALLADIO BEAUTY GROUP,7,corrected,"225 Liberty St, 7th Floor, New York, NY",NY,3912 Pembroke Road,FL,FL:7
THE WASHINGTON INSTITUTE,7,confirmed,"1828 L Street NW, Suite 1050",DC,,,CA:7
TRISPAN,7,corrected,"1400 Providence Highway, Norwood, MA",MA,"152 West 57th Street, 5th Floor",NY,NY:7
TRUCORDIA,7,confirmed,"2745 West 600 North, Suite 500",UT,,,FL:7
MENTO,7,unknown,300 Park Ave,NY,,,CA:6; CO:1
TRIANGLE CAPITAL GROUP,7,corrected,"629 West 5220 South, Suite 100, Murray, UT",UT,"1370 Avenue of the Americas, Floor 30",NY,NY:6; NJ:1
THE TOBIN GROUP,7,corrected,"9 W Broad St, Suite 1400, Columbus, OH",OH,2405 Marbury Rd,PA,MI:7
TSG BRANDS,7,corrected,"555 Long Wharf Dr, 6th Floor, New Haven, CT",CT,31 W 34th St,NY,NY:7
VETERANS ADMINISTRATION,7,confirmed,810 Vermont Avenue NW,DC,,,FL:7
WEITZ MEDICAL MANAGEMENT,7,corrected,"2101 Cedar Springs Rd, Dallas, TX",TX,2300 Sutter St Ste 304,CA,CA:7
WIINGATE LIVING,7,confirmed,300 1st Ave,MA,,,FL:6; NJ:1
ZIONS BANCORPORATION,7,confirmed,1 S Main St,UT,,,CO:4; MA:2; CA:1
GERBER & CO INC,7,corrected,"200 N Martingale Rd, Suite 100, Schaumburg, IL",IL,"1880 Century Park East, Suite 200",CA,CA:7
MCCARTER & ENGLISH LLP,7,corrected,"405 N. King Street, 8th Floor, Wilmington, DE",DE,"Four Gateway Center, 100 Mulberry St.",NJ,NJ:6; MA:1
WESTMORE CAPITAL ADVISORS,7,corrected,"445 Park Ave, 11th Floor, New York, NY",NY,301 21st Pl,CA,CA:7
ROYER COOPER COHEN BRAUNFELD LLC,7,corrected,"675 Third Avenue, Suite 1815, New York, NY",NY,"101 West Elm Street, Suite 400",PA,PA:7
RAINES FELDMAN LITTRELL LLP,7,corrected,"400 Rella Blvd, Suite 285, Suffern, NY",NY,"1900 Avenue of the Stars, 19th Floor",CA,CA:7
ARDR REALTY LLC,7,corrected,"224 W 30th St, 8th Floor, New York, NY",NY,318 Amethyst Avenue,CA,CA:7
GENERATION CAPITAL LLC,7,confirmed,"520 Seventh Avenue, 12th Floor",NY,,,OH:7
SINGLETON SCHREIBER LLP,7,corrected,"100 Park Avenue, New York, NY",NY,"591 Camino de la Reina, Suite 1025",CA,CA:6; NM:1
SHERMAN IP LLP,7,corrected,"1250 Connecticut Ave NW, Suite 700, Washington, DC",DC,"15760 Ventura Blvd., Suite 700",CA,FL:7
CAMBRIDGE INFO GROUP,7,corrected,"245 First Street, Cambridge, MA",MA,"888 7th Avenue, 17th Floor",NY,FL:7
ISLAND CAPITAL GROUP,7,corrected,"2711 Centerville Rd, Suite 401, Wilmington, DE",DE,717 Fifth Avenue,NY,NY:7
MORGAN LEWIS AND BOCKIUS,7,corrected,"1000 Louisiana Street, Suite 4000, Houston, TX",TX,2222 Market St,PA,MA:3; MD:2; DC:1
PHATHOM PHARMACEUTICALS,7,corrected,"200 Berkeley St, 10th Floor, Boston, MA",MA,"100 Campus Drive, Suite 102",NJ,NJ:7
REDDY RAW INC,7,corrected,"2100 SW River Pkwy, Tigard, OR",OR,1 Ethel Boulevard,NJ,NY:7
TRUCK FAX INC,7,corrected,"6215 N Cortez Ave, Scottsdale, AZ",AZ,17700 S Woodland Road,OH,OH:7
"GAFCON, INC",7,corrected,"201 3rd St NW, Gainesville, GA",GA,10301 Meanley Drive Suite 225,CA,CA:7
ARCADIA DEVELOPMENT CO,7,corrected,"50 Broadway, New York, NY",NY,5185 Cherry Ave Ste 10,CA,CA:7
DELOITTE & TOUCHE LLP,7,corrected,"111 South Wacker Drive, Chicago, IL",IL,"30 Rockefeller Plaza, 41st Floor",NY,NJ:7
ACADEMY PARTNERS GROUP,6,corrected,"3 Embarcadero Center, Suite 300, San Francisco, CA",CA,260 Josephine St Ste 300,CO,CO:6
ADMIRAL PACKAGING,6,corrected,"9255 N Broad St, Philadelphia, PA",PA,10 Admiral St,RI,RI:6
AJM PACKAGING CORPORATION,6,corrected,"111 S. Rio Grande Avenue, Tampa, FL",FL,E-4111 Andover Rd,MI,MI:4; CT:2
BAIRD,6,confirmed,"777 East Wisconsin Avenue, Suite 3000",WI,,,NY:3; IL:3
AXOGEN,6,confirmed,13631 Progress Blvd,FL,,,GA:6
AXA XL,6,corrected,"1301 Avenue of the Americas, New York, NY",NY,"Seaview House, 70 Seaview Ave",CT,NJ:6
BRAINFUSE,6,corrected,"2200 North Loop West, Suite 600, Houston, TX",TX,271 Madison Ave,NY,CA:6
BAYBERRY CARE CENTER,6,corrected,"1 Bayberry Dr, Portsmouth, NH",NH,40 Keogh Lane,NY,CT:6
CHARLES RIVER ASSOCIATES,6,confirmed,"200 Clarendon St, 54th Floor",MA,,,CT:6
CEDAR,6,corrected,"200 Portland Street, Boston, MA",MA,"32 6th Avenue, 18th Floor",NY,VA:6
CHICAGO TITLE,6,corrected,"10 S LaSalle St, Chicago, IL",IL,601 Riverside Avenue,FL,CA:6
CFI MANAGEMENT,6,corrected,"1500 District Ave, Suite 240, Burlington, MA",MA,50 Schilling Rd Ste 100,MD,MD:6
CLEARLIGHT PARTNERS,6,corrected,"1601 Trapelo Road, Suite 333, Waltham, MA",MA,"100 Bayview Circle, Suite 5000",CA,CA:6
ARC,6,unknown,2401 W 38th St,IL,,,FL:4; CA:2
CITY FIRST MORTGAGE,6,corrected,"1401 I Street NW, Washington, DC",DC,6100 Hollywood Blvd #305,FL,FL:6
COX COMMUNICATIONS,6,confirmed,6205-B Peachtree Dunwoody Road NE,GA,,,AZ:6
DAVIDOVICH LAW,6,corrected,"300 A St, Boston, MA",MA,"6442 Coldwater Canyon Avenue, Suite 209",CA,CA:6
DANKMEYER,6,corrected,"55 S SERVICE RD, Melville, NY",NY,"825 N Hammonds Ferry Rd, Suite D",MD,MD:6
COOPER COMMUNICATIONS,6,confirmed,245 West 29th Street,NY,,,CA:6
DCPS,6,confirmed,1200 First St NE,DC,,,VA:6
DISCOVER VISION CENTERS,6,corrected,"3099 Easton Square Place, Suite 1200, Columbus, OH",OH,4741 S Cochise Dr,MO,KS:6
DIGITAL DRAFTING SYSTEMS,6,corrected,"2300 Perimeter Park Dr, Suite 300, Morrisville, NC",NC,"16969 NW 67th Avenue, Suite 100",FL,FL:6
ELEVANCE HEALTH,6,corrected,"220 Virginia Avenue NE, Washington, DC",DC,220 Virginia Avenue,IN,CA:5; AZ:1
DANLY,6,corrected,"1000 N Park Dr, Glenview, IL",IL,500 Progress Road,OH,TX:6
EVEREDE TOOL COMPANY,6,corrected,"1040 Keene Road, Cheshire, CT",CT,850 West Hawthorne Lane,IL,AZ:6
ENVISION,6,corrected,"222 S Riverside Plaza, Suite 1500, Chicago, IL",IL,"20 Burton Hills Blvd, Suite 300",TN,FL:6
FRICTION BRANDS,6,corrected,"4001 Westchase Blvd, Suite 200, Houston, TX",TX,925 S Bedford St Unit 2,CA,CA:6
FINANCIAL PARTNERS CAPITAL MANAGEMENT,6,corrected,"21830 Burbank Blvd, Suite 210, Woodland Hills, CA",CA,150 East 52nd Street,NY,NY:6
GENET PROPERTY GROUP,6,corrected,"1155 S. Bascom Ave, Suite 400, San Jose, CA",CA,7071 W Commercial Blvd,FL,FL:6
GOVERNMENTAL ADVOCATES,6,corrected,"1001 Pennsylvania Avenue NW, Suite 1300S, Washington, DC",DC,"1127 11th Street, Suite 400",CA,CA:6
FULTON CAPITAL,6,corrected,"6400 S Fiddlers Green Cir, Suite 1500, Greenwood Village, CO",CO,"601 Skokie Blvd, Suite 204",IL,IL:6
HEALTHFIRST,6,confirmed,"520 8th Avenue, 10th Floor",NY,,,CO:5; FL:1
GORDON REES SCULLY MANSUKHANI,6,corrected,"One North Franklin, Suite 800, Chicago, IL",IL,315 Pacific Avenue,CA,CA:6
HARDWOOD PARTNERS,6,corrected,"600 Peachtree Street NE, Suite 2400, Atlanta, GA",GA,968 Harbor Rd,CT,CT:6
HIRSCH ROBERTS WEINSTEIN,6,corrected,"100 N Greene St, Suite 700, Winston-Salem, NC",NC,"One Liberty Square, 12th Floor",MA,MA:6
IDEAL,6,confirmed,1375 Park Ave,IL,,,TX:6
INSIGHT GLOBAL,6,corrected,"1550 Wynkoop St, Suite 900, Denver, CO",CO,"1224 Hammond Drive, Suite 1500",GA,DC:6
IMPERIAL DADE,6,corrected,"3535 Breakwater Way, Pompano Beach, FL",FL,120 Fieldcrest Avenue,NJ,OH:6
IMA FINANCIAL GROUP,6,corrected,"140 West 57th Street, New York, NY",NY,8200 E 32nd St N,KS,TX:6
INTERNAL REVENUE SERVICE,6,confirmed,1111 Constitution Avenue NW,DC,,,MD:6
IRIDIAN ASSET MANAGEMENT,6,corrected,"701 North Capital of Texas Highway West, Suite 250, Austin, TX",TX,"55 Post Road West, 2nd Fl",CT,FL:6
INVEL CAPITAL,6,corrected,"299 Park Ave, New York, NY",NY,47 Maple Street,NJ,NJ:6
LT APPAREL GROUP,6,corrected,"2 N Riverside Plaza, Suite 2000, Chicago, IL",IL,2 Park Ave,NY,NJ:6
KAFTAN ENTERPRISES,6,corrected,"1298 Union Turnpike, New Hyde Park, NY",NY,"29100 Northwestern Hwy, Suite 260",MI,MI:6
LORD ABBETT,6,confirmed,90 Hudson Street,NJ,,,NY:6
LASZLO STRATEGIES,6,unknown,"1201 Connecticut Ave NW, Suite 500",DC,,,MD:6
MAYER BROWN,6,confirmed,71 South Wacker Drive,IL,,,NY:6
MADISON DEARBORN PARTNERS,6,corrected,"60 Cutter Mill Rd, Suite 302, Great Neck, NY",NY,"70 W Madison St, Suite 4600",IL,IL:5; FL:1
MONDAY PROPERTIES,6,corrected,"1230 Peachtree St NE, Suite 1000, Atlanta, GA",GA,"595 Madison Avenue, Suite 1903",NY,NY:5; VA:1
NATIONAL INSTITUTES OF HEALTH,6,confirmed,"9000 Rockville Pike, Building 1",MD,,,TX:3; DC:3
MERRITT GALLERY,6,corrected,"215 Sullivan St, New York, NY",NY,88 Village Square,MD,MD:6
NMRK,6,corrected,"8750 North Central Expressway, Suite 1500, Dallas, TX",TX,125 Park Avenue,NY,IL:6
PARKWAY CORPORATION,6,corrected,"6601 4th St N, St. Petersburg, FL",FL,150 North Broad Street,PA,PA:6
NORTH RIVER CAPITAL,6,corrected,"767 Third Ave, 22nd Floor, New York, NY",NY,5642 Coventry Ln,IN,IN:6
